CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 110.519531 1616134529.6689
MEM 110.519531 1616134529.7731
MEM 110.519531 1616134529.8773
MEM 110.519531 1616134529.9821
MEM 110.519531 1616134530.0859
MEM 110.519531 1616134530.1900
MEM 110.519531 1616134530.2934
MEM 110.519531 1616134530.3940
MEM 110.519531 1616134530.4978
MEM 110.519531 1616134530.6024
MEM 110.519531 1616134530.7069
MEM 110.519531 1616134530.8112
MEM 110.519531 1616134530.9160
MEM 110.539062 1616134531.0197
MEM 110.539062 1616134531.1242
MEM 110.542969 1616134531.2285
MEM 110.542969 1616134531.3332
MEM 110.550781 1616134531.4358
MEM 110.550781 1616134531.5401
MEM 110.550781 1616134531.6437
MEM 110.550781 1616134531.7483
MEM 110.554688 1616134531.8525
MEM 110.554688 1616134531.9579
MEM 110.554688 1616134532.0605
MEM 110.554688 1616134532.1645
MEM 110.554688 1616134532.2689
MEM 110.554688 1616134532.3697
MEM 110.554688 1616134532.4730
MEM 110.554688 1616134532.5739
MEM 110.554688 1616134532.6790
MEM 110.558594 1616134532.7810
MEM 110.562500 1616134532.8823
MEM 110.601562 1616134532.9876
MEM 110.601562 1616134533.0907
MEM 110.601562 1616134533.1942
MEM 110.601562 1616134533.2976
MEM 110.609375 1616134533.4024
MEM 110.609375 1616134533.5041
MEM 110.621094 1616134533.6092
MEM 110.621094 1616134533.7096
MEM 110.621094 1616134533.8133
MEM 110.621094 1616134533.9146
MEM 110.621094 1616134534.0189
MEM 110.621094 1616134534.1230
MEM 110.621094 1616134534.2243
MEM 110.621094 1616134534.3277
MEM 110.621094 1616134534.4328
MEM 110.621094 1616134534.5373
MEM 110.621094 1616134534.6424
MEM 110.621094 1616134534.7477
MEM 110.621094 1616134534.8535
MEM 110.621094 1616134534.9548
MEM 110.621094 1616134535.0597
MEM 110.621094 1616134535.1656
MEM 110.621094 1616134535.2693
MEM 110.621094 1616134535.3738
MEM 110.621094 1616134535.4782
MEM 110.621094 1616134535.5822
MEM 110.621094 1616134535.6867
MEM 110.621094 1616134535.7912
MEM 110.621094 1616134535.8945
MEM 110.625000 1616134535.9994
MEM 110.625000 1616134536.1046
MEM 110.625000 1616134536.2104
MEM 111.066406 1616134536.3145
MEM 111.820312 1616134536.4192
MEM 111.820312 1616134536.5230
MEM 111.820312 1616134536.6265
MEM 111.824219 1616134536.7318
MEM 111.824219 1616134536.8363
MEM 111.824219 1616134536.9410
MEM 111.824219 1616134537.0422
MEM 111.824219 1616134537.1462
MEM 111.828125 1616134537.2491
MEM 111.828125 1616134537.3526
MEM 111.828125 1616134537.4560
MEM 111.828125 1616134537.5597
MEM 111.828125 1616134537.6642
MEM 111.828125 1616134537.7689
MEM 111.828125 1616134537.8700
MEM 111.828125 1616134537.9748
MEM 111.828125 1616134538.0751
MEM 111.828125 1616134538.1800
MEM 111.828125 1616134538.2841
MEM 111.828125 1616134538.3857
MEM 111.828125 1616134538.4896
MEM 111.828125 1616134538.5943
MEM 111.828125 1616134538.6975
MEM 111.828125 1616134538.8024
MEM 111.832031 1616134538.9030
MEM 111.832031 1616134539.0083
MEM 111.832031 1616134539.1098
MEM 111.835938 1616134539.2139
MEM 111.839844 1616134539.3189
MEM 111.839844 1616134539.4229
MEM 111.839844 1616134539.5270
MEM 111.839844 1616134539.6308
MEM 111.847656 1616134539.7355
MEM 111.847656 1616134539.8396
MEM 111.847656 1616134539.9428
MEM 111.851562 1616134540.0436
MEM 111.851562 1616134540.1484
MEM 111.851562 1616134540.2535
MEM 111.855469 1616134540.3563
MEM 111.859375 1616134540.4609
MEM 111.859375 1616134540.5641
MEM 111.859375 1616134540.6689
MEM 111.859375 1616134540.7729
MEM 111.859375 1616134540.8772
MEM 111.859375 1616134540.9811
MEM 111.859375 1616134541.0853
MEM 111.859375 1616134541.1887
MEM 111.859375 1616134541.2938
MEM 111.863281 1616134541.3975
MEM 111.863281 1616134541.5024
MEM 111.863281 1616134541.6073
MEM 111.867188 1616134541.7112
MEM 111.867188 1616134541.8161
MEM 111.867188 1616134541.9205
MEM 111.867188 1616134542.0236
MEM 111.867188 1616134542.1241
MEM 111.867188 1616134542.2259
MEM 111.867188 1616134542.3308
MEM 111.867188 1616134542.4323
MEM 111.867188 1616134542.5368
MEM 111.871094 1616134542.6419
MEM 111.871094 1616134542.7461
MEM 111.871094 1616134542.8503
MEM 111.871094 1616134542.9545
MEM 111.875000 1616134543.0590
MEM 111.875000 1616134543.1594
MEM 111.875000 1616134543.2641
MEM 111.875000 1616134543.3689
MEM 111.875000 1616134543.4729
MEM 111.875000 1616134543.5753
MEM 111.875000 1616134543.6785
MEM 111.875000 1616134543.7813
MEM 111.878906 1616134543.8843
MEM 111.882812 1616134543.9859
MEM 111.925781 1616134544.0896
MEM 111.925781 1616134544.1930
MEM 111.925781 1616134544.2980
MEM 111.925781 1616134544.4025
MEM 111.925781 1616134544.5071
MEM 111.925781 1616134544.6097
MEM 111.925781 1616134544.7131
MEM 111.925781 1616134544.8142
MEM 111.929688 1616134544.9190
MEM 111.933594 1616134545.0229
MEM 111.941406 1616134545.1257
MEM 111.941406 1616134545.2310
MEM 111.941406 1616134545.3436
MEM 111.941406 1616134545.4479
MEM 112.507812 1616134545.5482
MEM 112.511719 1616134545.6525
MEM 112.515625 1616134545.7562
MEM 112.519531 1616134545.8597
MEM 112.542969 1616134545.9742
MEM 112.917969 1616134546.0754
MEM 113.585938 1616134546.1789
MEM 113.386719 1616134546.2831
MEM 113.386719 1616134546.3856
MEM 113.386719 1616134546.4900
MEM 113.386719 1616134546.5912
MEM 113.386719 1616134546.6939
MEM 113.386719 1616134546.7971
MEM 113.386719 1616134546.8973
MEM 113.390625 1616134547.0025
MEM 113.390625 1616134547.1062
MEM 113.390625 1616134547.2096
MEM 113.394531 1616134547.3106
MEM 113.394531 1616134547.4150
MEM 113.394531 1616134547.5189
MEM 113.394531 1616134547.6229
MEM 113.394531 1616134547.7237
MEM 113.394531 1616134547.8282
MEM 113.398438 1616134547.9332
MEM 113.421875 1616134548.0359
MEM 113.421875 1616134548.1399
MEM 113.421875 1616134548.2407
MEM 113.421875 1616134548.3452
MEM 113.421875 1616134548.4484
MEM 113.421875 1616134548.5525
MEM 113.421875 1616134548.6528
MEM 113.421875 1616134548.7562
MEM 113.425781 1616134548.8566
MEM 113.425781 1616134548.9603
MEM 113.425781 1616134549.0640
MEM 113.425781 1616134549.1690
MEM 113.425781 1616134549.2739
MEM 113.425781 1616134549.3756
MEM 113.425781 1616134549.4766
MEM 113.425781 1616134549.5798
MEM 113.429688 1616134549.6839
MEM 113.429688 1616134549.7878
MEM 113.429688 1616134549.8895
MEM 113.429688 1616134549.9918
MEM 113.429688 1616134550.0937
MEM 113.429688 1616134550.1974
MEM 113.429688 1616134550.3025
MEM 113.429688 1616134550.4075
MEM 113.429688 1616134550.5121
MEM 113.437500 1616134550.6173
MEM 113.449219 1616134550.7190
MEM 113.449219 1616134550.8233
MEM 113.457031 1616134550.9258
MEM 113.457031 1616134551.0308
MEM 113.464844 1616134551.1340
MEM 113.464844 1616134551.2359
MEM 113.472656 1616134551.3395
MEM 113.476562 1616134551.4441
MEM 113.476562 1616134551.5483
MEM 113.476562 1616134551.6525
MEM 113.476562 1616134551.7527
MEM 113.476562 1616134551.8576
MEM 113.476562 1616134551.9591
MEM 113.476562 1616134552.0640
MEM 113.476562 1616134552.1690
MEM 113.476562 1616134552.2728
MEM 113.476562 1616134552.3769
MEM 113.476562 1616134552.4808
MEM 113.480469 1616134552.5855
MEM 113.484375 1616134552.6897
MEM 113.484375 1616134552.7938
MEM 113.484375 1616134552.8976
MEM 113.484375 1616134553.0025
MEM 113.484375 1616134553.1061
MEM 113.484375 1616134553.2100
MEM 113.488281 1616134553.3141
MEM 113.492188 1616134553.4190
MEM 113.492188 1616134553.5192
MEM 113.492188 1616134553.6244
MEM 113.492188 1616134553.7286
MEM 113.492188 1616134553.8307
MEM 113.496094 1616134553.9312
MEM 113.500000 1616134554.0359
MEM 113.500000 1616134554.1406
MEM 113.500000 1616134554.2443
MEM 113.503906 1616134554.3473
MEM 113.503906 1616134554.4478
MEM 113.503906 1616134554.5525
MEM 113.503906 1616134554.6574
MEM 113.503906 1616134554.7621
MEM 115.558594 1616134554.8666
MEM 112.832031 1616134554.9694
MEM 112.832031 1616134555.0728
MEM 112.835938 1616134555.1736
MEM 112.835938 1616134555.2742
MEM 112.835938 1616134555.3775
MEM 112.835938 1616134555.4807
MEM 112.835938 1616134555.5858
MEM 112.835938 1616134555.6894
MEM 112.835938 1616134555.7946
MEM 112.835938 1616134555.8990
MEM 112.835938 1616134556.0035
MEM 112.835938 1616134556.1089
MEM 112.835938 1616134556.2134
MEM 112.835938 1616134556.3179
MEM 112.835938 1616134556.4228
MEM 112.835938 1616134556.5276
MEM 112.835938 1616134556.6319
MEM 112.835938 1616134556.7360
MEM 112.835938 1616134556.8401
MEM 112.835938 1616134556.9450
MEM 112.835938 1616134557.0485
MEM 112.835938 1616134557.1535
MEM 112.835938 1616134557.2590
MEM 112.835938 1616134557.3639
MEM 112.875000 1616134557.4690
MEM 112.914062 1616134557.5755
MEM 112.914062 1616134557.6767
MEM 112.914062 1616134557.7808
MEM 112.914062 1616134557.8859
MEM 112.914062 1616134557.9900
MEM 112.937500 1616134558.0949
MEM 112.953125 1616134558.1984
MEM 112.953125 1616134558.3029
MEM 112.953125 1616134558.4063
MEM 112.953125 1616134558.5088
MEM 112.953125 1616134558.6107
MEM 112.953125 1616134558.7110
MEM 112.953125 1616134558.8145
MEM 112.953125 1616134558.9190
MEM 112.953125 1616134559.0241
MEM 112.953125 1616134559.1268
MEM 112.953125 1616134559.2318
MEM 112.953125 1616134559.3365
MEM 112.953125 1616134559.4417
MEM 112.980469 1616134559.5426
MEM 112.992188 1616134559.6429
MEM 112.992188 1616134559.7432
MEM 113.003906 1616134559.8480
MEM 113.003906 1616134559.9525
MEM 113.003906 1616134560.0571
MEM 113.003906 1616134560.1606
MEM 113.003906 1616134560.2656
MEM 113.003906 1616134560.3690
MEM 113.007812 1616134560.4745
MEM 113.007812 1616134560.5773
MEM 113.015625 1616134560.6823
MEM 113.015625 1616134560.7856
MEM 113.015625 1616134560.8894
MEM 113.015625 1616134560.9924
MEM 113.015625 1616134561.0930
MEM 113.015625 1616134561.1972
MEM 113.015625 1616134561.2985
MEM 113.015625 1616134561.4025
MEM 113.015625 1616134561.5041
MEM 113.015625 1616134561.6089
MEM 113.015625 1616134561.7119
MEM 113.015625 1616134561.8169
MEM 113.015625 1616134561.9214
MEM 113.015625 1616134562.0260
MEM 113.015625 1616134562.1294
MEM 113.015625 1616134562.2307
MEM 113.015625 1616134562.3310
MEM 113.015625 1616134562.4363
MEM 113.015625 1616134562.5394
MEM 113.015625 1616134562.6444
MEM 113.015625 1616134562.7496
MEM 113.015625 1616134562.8525
MEM 113.015625 1616134562.9574
MEM 113.019531 1616134563.0623
MEM 113.019531 1616134563.1668
MEM 113.023438 1616134563.2713
MEM 113.023438 1616134563.3758
MEM 113.023438 1616134563.4810
MEM 113.023438 1616134563.5864
MEM 113.027344 1616134563.6908
MEM 113.027344 1616134563.7948
MEM 113.027344 1616134563.8992
MEM 113.027344 1616134564.0037
MEM 113.027344 1616134564.1079
MEM 113.027344 1616134564.2128
MEM 113.027344 1616134564.3169
MEM 113.027344 1616134564.4214
MEM 113.027344 1616134564.5272
MEM 113.031250 1616134564.6293
MEM 113.031250 1616134564.7342
MEM 113.035156 1616134564.8398
MEM 113.480469 1616134564.9427
MEM 113.539062 1616134565.0477
MEM 113.539062 1616134565.1525
MEM 113.542969 1616134565.2562
MEM 113.542969 1616134565.3590
MEM 113.546875 1616134565.4641
MEM 114.542969 1616134565.5690
MEM 111.378906 1616134565.6738
MEM 112.863281 1616134565.7803
MEM 116.250000 1616134565.8842
MEM 116.250000 1616134565.9906
MEM 116.250000 1616134566.0951
MEM 116.250000 1616134566.1975
MEM 116.250000 1616134566.3026
MEM 116.257812 1616134566.4034
MEM 116.320312 1616134566.5038
MEM 116.394531 1616134566.6045
MEM 115.777344 1616134566.7068
MEM 115.777344 1616134566.8103
MEM 115.777344 1616134566.9144
MEM 115.777344 1616134567.0190
MEM 115.777344 1616134567.1206
MEM 115.777344 1616134567.2231
MEM 115.777344 1616134567.3273
MEM 115.777344 1616134567.4380
MEM 115.777344 1616134567.5405
MEM 115.777344 1616134567.6454
MEM 115.820312 1616134567.7493
MEM 115.820312 1616134567.8525
MEM 115.808594 1616134567.9630
MEM 115.789062 1616134568.0646
MEM 115.789062 1616134568.1690
MEM 115.789062 1616134568.2700
MEM 115.789062 1616134568.3737
